,nconst,primaryName,knownForTitles
184,nm0001603,sam peckinpah,"tt0067800,tt0065214,tt0068638,tt0049366"
185,nm0000638,william shatner,"tt0092007,tt0098382,tt0084726,tt0088170"
186,nm0000454,dennis hopper,"tt0064276,tt0090756,tt0114898,tt0111257"
187,nm0433183,george justin,"tt0074860,tt0050083,tt0047296,tt0061722"
188,nm0550855,e.g. marshall,"tt0097958,tt0050083,tt0113987,tt0081573"
189,nm0102704,peter brace,"tt0096446,tt0082971,tt0091203,tt0102798"
190,nm0347656,clu gulager,"tt0089686,tt0426459,tt0089907,tt0067328"
191,nm0000934,bernardo bertolucci,"tt0117737,tt0065571,tt0093389,tt0070849"
192,nm0005711,freddie francis,"tt0166896,tt0097441,tt0101540,tt0080678"
193,nm0950109,terence young,"tt0055928,tt0062467,tt0059800,tt0057076"
194,nm0001423,richard kiel,"tt0116483,tt0398286,tt0089767,tt0079574"
195,nm0104391,jacques branchu,tt0056119
196,nm0566680,alec mccowen,"tt0068611,tt0106226,tt0217505,tt0086006"
197,nm0000393,peter falk,"tt0093191,tt1466074,tt0093779,tt0074937"
198,nm0942220,ben wright,"tt0055254,tt0097757,tt0061852,tt0059742"
199,nm0001232,milos forman,"tt0086879,tt0073486,tt0117318,tt0079261"
200,nm0000338,francis ford coppola,"tt0071562,tt0068646,tt0078788,tt0071360"
201,nm0110482,albert r. broccoli,"tt0055928,tt0062512,tt0076752,tt0079574"
202,nm0001727,robert shaw,"tt0057076,tt0073195,tt0070735,tt0060665"
203,nm0332587,robert goulet,"tt7131622,tt0096061,tt0102510,tt0094721"
204,nm0426062,richard johnson,"tt0080057,tt0146316,tt0057129,tt0914798"
205,nm0877274,lawrence turman,"tt0061722,tt0120586,tt0110997,tt0084787"
206,nm0842425,karl swenson,"tt0056869,tt0067927,tt0055031,tt0057546"
207,nm0755403,yutaka sada,"tt0057565,tt0051808,tt0055630,tt0056443"
208,nm0000197,jack nicholson,"tt0119822,tt0073486,tt0407887,tt0071315"
209,nm0422484,norman jewison,"tt0070239,tt0061811,tt0174856,tt0093565"
210,nm0000217,martin scorsese,"tt0070379,tt0099685,tt0075314,tt0106226"
211,nm0798061,felix silla,"tt0091129,tt0094012,tt0084516,tt0086190"
212,nm0001513,tim matheson,"tt1832979,tt0077975,tt0283111,tt0200276"
213,nm0925500,ted white,"tt0088172,tt0098206,tt0082340,tt0088011"
214,nm0001021,veronica cartwright,"tt0078748,tt0056869,tt0094332,tt0257106"
215,nm0001816,robert vaughn,"tt0086393,tt0072308,tt0062765,tt0054047"
216,nm0727300,shane rimmer,"tt0081573,tt0076752,tt0083987,tt0372784"
217,nm0285547,cecil f. ford,"tt0054953,tt0081573,tt0058586,tt0050212"
218,nm0769874,franklin j. schaffner,"tt0070511,tt0077269,tt0063442,tt0066206"
219,nm0505854,joseph e. levine,"tt0061722,tt0063227,tt0075784,tt0063462"
220,nm0915851,fritz weaver,"tt1440345,tt0155267,tt0083767,tt0074860"
221,nm0879209,bill tytla,"tt0033563,tt0032455,tt0029583,tt0032910"
222,nm0778734,catherine scorsese,"tt0099685,tt0085794,tt0112641,tt0101540"
223,nm0912491,jack l. warner,"tt0037382,tt0038355,tt0034583,tt0058385"
224,nm0364918,julius harris,"tt0099365,tt0074751,tt0072251,tt0070328"
225,nm0000366,catherine deneuve,"tt0283832,tt0061395,tt0168629,tt0059646"
226,nm0001703,maximilian schell,"tt0120877,tt0120647,tt0055031,tt0075784"
227,nm0001123,dom deluise,"tt0071230,tt0096787,tt0084649,tt0082136"
228,nm0001347,barbara hershey,"tt0331811,tt0106856,tt1591095,tt0947798"
229,nm0000398,sally field,"tt0109830,tt0076729,tt0098384,tt0443272"
230,nm0125426,pat buttram,"tt0099088,tt0065421,tt0082406,tt0070608"
231,nm0661416,woodrow parfrey,"tt0063442,tt0066999,tt0070511,tt0075029"
232,nm0393222,james hong,"tt0090728,tt1302011,tt0441773,tt0083658"
233,nm0131565,earl cameron,"tt1375666,tt0074896,tt0373926,tt0059800"
234,nm0449197,samia kerbash,tt0058946
235,nm0000654,terence stamp,"tt0078346,tt0165854,tt0081573,tt0109045"
236,nm0891092,peter vaughan,"tt0795368,tt0081633,tt0067800,tt0088846"
237,nm0001036,geraldine chaplin,"tt1649419,tt0287467,tt0464141,tt0073440"
238,nm0875237,yoshio tsuchiya,"tt0057565,tt0055630,tt0047478,tt0056443"
239,nm0001626,christopher plummer,"tt5294550,tt0268978,tt0140352,tt1532503"
240,nm0000602,robert redford,"tt0081283,tt0087781,tt0074119,tt0064115"
241,nm0000323,michael caine,"tt0124315,tt0482571,tt0468569,tt0258068"
242,nm0130492,john calley,"tt0382625,tt0808151,tt0107943,tt0376541"
243,nm0005065,quincy jones,"tt0068638,tt0061811,tt1877832,tt0088939"
244,nm0441399,takeshi katô,"tt0055630,tt0089881,tt0057565,tt0051808"
245,nm0601077,michael d. moore,"tt0082971,tt0046534,tt0096446,tt0086006"
246,nm0676349,brock peters,"tt0056592,tt0102975,tt0070723,tt0092007"
247,nm0007631,aicha abadir,tt0059592
248,nm0001628,sydney pollack,"tt0465538,tt0120663,tt0084805,tt0089755"
249,nm0000559,leonard nimoy,"tt0088170,tt0102975,tt0796366,tt0092007"
250,nm0000854,majel barrett,"tt0117731,tt0111280,tt0070909,tt0253754"
251,nm0627453,john neville,"tt0119116,tt0278731,tt0120902,tt0096764"
252,nm0263052,maurice evans,"tt0063442,tt0063522,tt0065462,tt0079367"
253,nm0561792,paul maxwell,"tt0097576,tt0075784,tt0090605,tt0075066"
254,nm0484842,monte landis,"tt0089791,tt0089886,tt0086984,tt0072431"
255,nm0001420,deforest kelley,"tt0098382,tt0060028,tt0084726,tt0102975"
256,nm0629667,nichelle nichols,"tt0102975,tt0079945,tt0060028,tt0092007"
257,nm0001150,james doohan,"tt0092007,tt0084726,tt0102975,tt0060028"
258,nm0001786,george takei,"tt0102975,tt0060028,tt0084726,tt0092007"
259,nm0000479,walter koenig,"tt0102975,tt0060028,tt0084726,tt0092007"
260,nm0821126,paul stader,"tt0093560,tt0089218,tt0069113,tt0072308"
261,nm0342458,nikolay grinko,"tt0072443,tt0079944,tt0056111,tt0069293"
262,nm0376101,david hemmings,"tt0172495,tt0073582,tt0060176,tt0062711"
263,nm0000603,vanessa redgrave,"tt0783233,tt0104454,tt0892318,tt1372686"
264,nm0626259,franco nero,"tt0099423,tt4425200,tt1853728,tt0892318"
265,nm0712391,thurl ravenscroft,"tt0377981,tt0055254,tt0065421,tt0092695"
